id;sys_employee_id;sys_office_id;sys_post_id
1;challenge Agent;systems Keyboard Clothing;Sleek Clothing
2;Dynamic Fantastic matrix;cutting-edge;programming
3;Handmade copy;Turnpike quantifying Harbor;Networked transmitting
4;back-end Bike bandwidth;Ergonomic program platforms;out-of-the-box Extension calculate
5;e-commerce Louisiana;synthesizing Streets Engineer;Music feed
6;extranet;Movies Colombian Peso Unidad de Valor Real Pizza;Vision-oriented bypassing
7;Generic;Vatu Bedfordshire;sticky
8;Shoes;systems;Interactions SSL transmit
9;Handcrafted Fresh Ball invoice SMTP;Florida;deploy
10;Flats AI;Cotton web services;Sleek synergies Practical Soft Chair
