id;sys_employee_id;sys_post_id
1;Keyboard Analyst Ameliorated;Borders Liaison evolve
2;red;synergize Shirt Home
3;Granite Bedfordshire Fresh;Cotton Identity info-mediaries
4;e-markets Assistant Western Sahara;mission-critical
5;Shirt Tools Director;Wallis and Futuna Shoes Malawi
6;Cheese Streamlined;action-items secured line next generation
7;Car;cross-platform contextually-based
8;connecting Guadeloupe Towels;Frozen platforms
9;indexing maroon;Producer SQL Money Market Account
10;bluetooth Fall;enable Refined Granite Fish Tunisia
