id;menu_code;parent_code;parent_codes;tree_sort;tree_sorts;tree_leaf;tree_level;tree_names;menu_name;menu_type;menu_href;menu_icon;menu_title;permission;menu_sort;is_show;sys_code;status;remarks
1;synthesizing;indigo Bacon Mouse;Programmable payment National;31619;87720;true;39244;indexing models e-enable;Money Market Account Saint Helena;MENU;disintermediate Mali Unbranded Concrete Soap;Cotton Tactics;array Belize Dollar;optical;62007;false;MOBILE;DELETE;Steel salmon application
2;USB scalable;Bosnia and Herzegovina generate Creek;syndicate haptic;14991;48635;false;40895;synthesize Baby Credit Card Account;Portugal Persistent;PERMISSION;Idaho strategize;value-added Savings Account;Connecticut Avon Money Market Account;bus;59296;true;WEB;DISABLE;Maine Checking Account markets
3;Unbranded programming District;Concrete;Pizza yellow programming;33214;86989;false;51883;New Mexico;streamline navigate;MENU;Money Market Account;synergize;JSON National;interactive capacitor;45221;true;WEB;DISABLE;Automotive frame
4;Indiana deposit Electronics;Bedfordshire Strategist;Towels applications;8534;53506;true;18446;matrices application;index indigo;PERMISSION;Street New Jersey;reciprocal;Mountain Malaysia supply-chains;Borders hack;10298;false;MOBILE;DISABLE;schemas Industrial
5;calculating;withdrawal Toys white;olive;50550;1971;true;10410;multi-byte Salad;Idaho bandwidth;DEV;Markets Branding Concrete;eco-centric Senior;deposit;fuchsia Music Salad;58304;true;MOBILE;NORMAL;distributed Computers
6;Money Market Account users Guinea;SQL lavender;transmit Wooden COM;48743;98536;true;47106;Table Avon Bedfordshire;Peru withdrawal Down-sized;PERMISSION;Liaison Tonga;Lari;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;49746;true;WEB;DELETE;withdrawal Towels
7;navigating seize generate;Fantastic Wooden Chips microchip;Generic;77098;24534;false;38929;grid-enabled ubiquitous monitor;Home Loan Account;PERMISSION;Bedfordshire 4th generation Equatorial Guinea;Auto Loan Account;indexing;Savings Account extensible connect;10659;false;MOBILE;DISABLE;Forge Licensed
8;auxiliary;Engineer Toys Fantastic;Licensed;91731;96209;false;79001;Cayman Islands Dollar Cocos (Keeling) Islands Awesome;USB alarm 1080p;PERMISSION;Triple-buffered Borders magenta;Tasty Metal Chair Handcrafted Rubber Sausages Officer;Mississippi Product;Metal;73102;false;WEB;DELETE;indexing
9;South Georgia and the South Sandwich Islands;Baby Money Market Account;Connecticut;48106;7695;true;69628;magnetic interface;Kansas;PERMISSION;Timor-Leste e-commerce;Inverse Health JBOD;Outdoors;Holy See (Vatican City State);93906;true;MOBILE;DISABLE;Practical killer Russian Federation
10;Adaptive Practical B2C;SQL;Persevering Gorgeous Steel Salad Associate;42777;10946;false;39163;Concrete Usability neural;Generic;DEV;Underpass Personal Loan Account;parse;Intuitive;quantifying Phased connecting;12033;false;WEB;DELETE;neural wireless Generic Frozen Bike
