id;post_code;post_name;post_type;status;remarks
1;96457-7626;Wooden Innovative;BASIC;DISABLE;withdrawal
2;82030;Checking Account Corporate;BASIC;DISABLE;Investment Account holistic
3;55508;Intelligent Fresh Chair;SENIOR;DISABLE;Response
4;80268;Guadeloupe;MIDDLE;DISABLE;mindshare metrics
5;67266-3287;Creative driver THX;SENIOR;DISABLE;Metal
6;84630;Investment Account;MIDDLE;DELETE;Zloty visionary
7;50561-9161;Fish deposit reboot;BASIC;DISABLE;heuristic Avon
8;30918-5234;quantifying Refined Cotton Chicken navigating;SENIOR;DELETE;Flat cross-platform
9;48597-4038;Tools seamless;MIDDLE;DELETE;Steel Legacy
10;91305;expedite Garden;SENIOR;DELETE;Designer Course
