id;role_code;role_name;role_type;role_sort;is_sys;data_scope;biz_scope;status;remarks
1;SMTP;Checking Account global Steel;ORGANIZARION;30777;true;NONE;Connecticut Burg;NORMAl;digital Corporate Checking Account
2;seamless New York mesh;Unbranded array;USER;39654;false;CUSTOM;Granite Configuration Buckinghamshire;DISABLE;Berkshire concept
3;Illinois robust;Granite Rubber;ORGANIZARION;69766;true;CUSTOM;e-business RSS;NORMAl;Automated
4;Pants even-keeled Chair;Brazil;ORGANIZARION;36426;false;ALL;online;DISABLE;Regional
5;Home;primary quantify Chips;USER;92404;false;ALL;Kiribati monitor;DELETE;Metal
6;Internal Buckinghamshire Antarctica (the territory South of 60 deg S);ADP;USER;26924;true;CUSTOM;blue internet solution Concrete;NORMAl;Berkshire Awesome
7;pixel Pennsylvania;architectures Cotton;ORGANIZARION;89964;true;ALL;methodology Integration Music;DELETE;Avon
8;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;USER;86550;false;CUSTOM;Assurance Nebraska Mississippi;DISABLE;silver
9;system;Buckinghamshire;USER;70723;true;ALL;internet solution Checking Account;NORMAl;Yemen
10;open architecture;Gorgeous Metal Shoes;ORGANIZARION;47157;true;ALL;calculating Administrator Frozen;NORMAl;synthesize Arizona synthesizing
