id;sys_role_id;ctrl_type;ctrl_data;ctrl_permi
1;Frozen;OFFICE;Track Rustic Soft Cheese;Steel wireless
2;Trail;COMPANY;Applications;Executive Buckinghamshire
3;Borders function Bedfordshire;COMPANY;Home Loan Account Central;Oregon SCSI
4;Knolls networks Auto Loan Account;OFFICE;Executive;TCP
5;invoice success;COMPANY;Beauty Orchestrator;Mobility
6;connect;OFFICE;withdrawal;transparent cross-platform
7;program;OFFICE;olive Assistant Incredible;Books
8;next-generation payment Rustic Steel Cheese;OFFICE;Rial Omani Ergonomic target;Gorgeous infomediaries utilize
9;forecast;COMPANY;Taka Industrial Sleek;neural-net Ergonomic Cambridgeshire
10;Reactive Cape Steel;OFFICE;engineer;Marketing
