id;sys_user_id;ctrl_type;ctrl_data;ctrl_permi
1;transitional Garden;OFFICE;silver Kids;killer
2;hack cyan;OFFICE;Bangladesh payment;Multi-lateral program
3;projection intermediate Nebraska;COMPANY;port target Ball;Fresh Credit Card Account Gorgeous Soft Shirt
4;Small;COMPANY;port;circuit Awesome Fresh Shoes
5;end-to-end;COMPANY;Concrete Texas;local area network solid state Chief
6;functionalities seize;OFFICE;Maryland Web;feed Games Ball
7;SMTP Chips radical;OFFICE;Paradigm attitude-oriented Spur;invoice Ergonomic Plastic Shoes
8;syndicate ADP Locks;OFFICE;navigate Movies;override architectures navigating
9;program reintermediate RSS;COMPANY;Home enable;deposit monitor utilisation
10;Fantastic Metal Fish Extensions;OFFICE;Azerbaijanian Manat bypassing;Borders attitude-oriented calculating
